#{"t_start": 1742308822.0126674, "env_id": "None"}
r,l,t
-1776.819736,2000,5.071775
-1867.478826,2000,18.027856
-1353.902872,2000,76.632173
-1081.143488,2000,87.015264
-921.339591,2000,118.251053
-1105.678304,2000,127.974853
--742.520324,2000,160.288854
--712.769879,2000,169.153172---816.703533,2000,201.66468-6--684.302197,2000,210.43178-6--595.314188,2000,242.0290-6-6-678.92221,2000,251.96439-6--653.975018,2000,282.5958-58--456.890723,2000,292.8941-44--527.005972,2000,324.5531-50--434.935019,2000,333.2696-43--502.385018,2000,365.6232-4-4-461.320572,2000,374.131-46-4-425.700218,2000,406.969-44-4-475.669718,2000,416.414-36-4-455.41037,2000,449.8703-3-4-370.047061,2000,459.7649-3-3-366.295621,2000,491.3244-3-3-433.502457,2000,501.0334-3-4-303.25115,2000,533.18330-3--320.80455,2000,542.566719-2-305.062346,2000,573.688297-2-256.821852,2000,582.736359-2-272.11145,2000,614.792632
--218.988063,2000,624.63909
-193.462541,2000,656.273829
-178.980901,2000,665.785222
-92.425918,2000,697.714212
--68.897836,2000,707.379434
-85.056946,2000,738.310366
-72.547833,2000,748.439238
-24.453992,2000,779.8217531.1.908485,2000,789.71127824-24.465661,2000,821.7144
132.951895,2000,830.683318
-9.535794,2000,863.084961
90.642357,2000,871.785593
131.497644,2000,899.812239
197.67576,2000,909.665425
116.712662,2000,941.163358
228.904573,2000,951.195784
150.79543,2000,982.464203
163.942929,2000,992.129219
136.119342,2000,1023.743256
313.529716,2000,1032.622523
962.276582,2000,1064.743188
2250.306936,2000,1074.2301
272.468189,2000,1105.525621
212.055182,2000,1115.051142
254.152696,2000,1146.775746
144.220793,2000,1155.798489
326.158557,2000,1187.675954
308.875084,2000,1197.08768429292.587877,2000,1228.43524
3248.131921,2000,1238.160482
3324.852456,2000,1269.325452
--263.425746,2000,1279.038095
--119.950434,2000,1310.643711
2246.676567,2000,1319.290001-1291.358833,2000,1352.050869
3223.215161,2000,1361.10841
344.12022,2000,1393.356006
347.816912,2000,1402.846265
294.407574,2000,1433.963933
353.675334,2000,1443.156325
240.092586,2000,1473.71785
346.304132,2000,1483.096117
118.541239,2000,1514.029549
349.561245,2000,1523.441579
345.178625,2000,1556.042332
357.99354,2000,1565.415417
-245.062862,2000,1596.63687
-320.033505,2000,1605.387692
260.720166,2000,1637.388674
194.982949,2000,1646.273857
342.755507,2000,1677.718197
265.624193,2000,1686.927253
274.555543,2000,1717.331809
322.842828,2000,1727.048018
21.607396,2000,1758.004924
329.550269,2000,1762.632823
341.613293,2000,1794.813601
158.214996,2000,1803.547911
-64.040672,2000,1835.527307
355.939997,2000,1844.429955
344.644049,2000,1876.474234
370.362637,2000,1886.353594
346.780903,2000,1917.513261
386.277697,2000,1927.24791
305.83546,2000,1958.730222
-126.623957,2000,1967.387685
311.385788,2000,1999.550678
350.790731,2000,2008.18489
385.891845,2000,2040.373213
339.925362,2000,2049.602255
-252.994107,2000,2080.932357
-205.180932,2000,2089.972319
369.562211,2000,2120.812604
347.497122,2000,2130.433344
379.988792,2000,2161.049412
325.770373,2000,2170.831816
9.975978,2000,2201.986048
-177.816614,2000,2211.204994
4-137.29095,2000,2242.58751
313.29595,2000,2251.951014
-189.753321,2000,2284.54700931385.952599,2000,2294.0293372.-161.267914,2000,2326.4295.627-23.956108,2000,2336.0-59.470338.219588,2000,2367.6116.212162.049601,2000,2377.1368.1472.208459,2000,2408.366337.326.814894,2000,2417.8213360.378.023701,2000,2449.4504389.322.968663,2000,2458.8104118278.767311,2000,2490.70425368135.389019,2000,2500.25183396318.765617,2000,2532.5488320.365.40622,2000,2541.26403346304.849538,2000,2573.404577
-263.736993,2000,2583.39359
360.134582,2000,2584.782944
189.201819,2000,2586.131058
207.318427,2000,2587.717959
415.472898,2000,2589.389155
418.161153,2000,2590.986054
418.141108,2000,2592.366213
372.923114,2000,2593.716331
404.775615,2000,2595.347453
421.571776,2000,2597.00983
