#{"t_start": 1745744798.1211114, "env_id": "None"}
r,l,t
-1175.308487,2000,6.951432
-1031.282247,2000,26.816555
--1426.722539,2000,91.102234
--1373.084633,2000,110.867942
--1242.744725,2000,162.73445
--1079.206614,2000,183.851513-1-1030.933102,2000,253.551766-1-777.407533,2000,271.53458
--901.792831,2000,324.417642
--1032.542474,2000,347.685423
--1006.031786,2000,419.21866-78-748.828467,2000,439.50044-10-897.773249,2000,499.519271-1-690.338304,2000,519.050967---899.687359,2000,581.83541
--754.353689,2000,602.518597
--701.631139,2000,667.651755
--852.060818,2000,687.867547
--970.080754,2000,740.10222
--705.189031,2000,760.167803
--901.677882,2000,833.719404---728.1789,2000,855.53562
-697.368821,2000,908.73638
-951.826512,2000,927.885964
-745.923523,2000,999.569119
-803.517065,2000,1019.985951
-673.841573,2000,1077.052169
-851.299297,2000,1104.852138
-669.315985,2000,1167.136264
-744.840346,2000,1186.684911
-679.142369,2000,1248.602697
-688.170044,2000,1274.96956
-668.183811,2000,1327.919734
-907.226184,2000,1346.585523
-811.830243,2000,1418.768976
-750.231888,2000,1439.619492
-661.071667,2000,1492.368656
--832.568731,2000,1514.153023
--701.177523,2000,1587.086533
--769.049792,2000,1607.568552
--685.76077,2000,1658.919806
-713.802079,2000,1688.037072
-701.764663,2000,1736.302973
-787.403874,2000,1758.953905
-690.544481,2000,1813.270408-8-714.245477,2000,1841.087599-6-696.067157,2000,1895.58578-70-677.376618,2000,1916.08688-79-646.165879,2000,1989.06890-79-684.83142,2000,2008.235683-6-772.888561,2000,2062.402993-6-708.016655,2000,2081.837444-7-659.55574,2000,2153.186273
--697.110235,2000,2173.802796
--754.489255,2000,2226.170685
--705.294023,2000,2251.020563
--651.78927,2000,2311.719877
-749.603677,2000,2331.55292
-696.427941,2000,2383.620558
-809.59806,2000,2406.472144
-820.760942,2000,2466.952921
-669.375947,2000,2486.154555
-726.09058,2000,2549.471214
-800.449115,2000,2570.103043
-776.12771,2000,2622.370243
-732.760489,2000,2650.505831
-634.555948,2000,2714.671975
-764.7689,2000,2734.253776
-636.588195,2000,2799.18781
-676.978519,2000,2822.204712
-833.369079,2000,2873.954533
-871.006376,2000,2894.337505
-696.469733,2000,2961.10445
-691.903912,2000,2981.671683
-835.026507,2000,3035.370733
-747.318148,2000,3056.671894
-832.20751,2000,3128.455578
-732.514939,2000,3145.588488
-686.247023,2000,3199.17135
-620.563189,2000,3230.1715
-759.857491,2000,3294.888957
-961.698024,2000,3315.505462
-773.239438,2000,3377.387799
-718.461774,2000,3394.705993
-730.288501,2000,3447.653674
-761.707946,2000,3454.522192
-749.390416,2000,3526.838851
-1084.056249,2000,3547.38778
-727.902478,2000,3599.488441
-773.58476,2000,3619.690954
-678.052649,2000,3693.787515
-682.802542,2000,3714.122711
-1993.050696,2000,3767.773116
--1710.001106,2000,3795.756791
--679.066419,2000,3859.155912
-827.390953,2000,3879.338253
-628.723283,2000,3940.855799
-739.607354,2000,3961.789523
-682.364848,2000,4025.822481
-736.763952,2000,4044.571943
