#{"t_start": 1745732182.122855, "env_id": "None"}
r,l,t
-528.206763,2000,25.867285
-528.21821,2000,52.41665
-529.619689,2000,151.753901
-590.103714,2000,183.46705
--438.942155,2000,288.466299
--443.357562,2000,316.667375
--446.112678,2000,423.11814
-486.44854,2000,447.492037
-468.264515,2000,551.973299
--488.977173,2000,579.217392
--518.439174,2000,676.76755
-448.971924,2000,710.167431
-423.901322,2000,824.084372
-397.839221,2000,851.217808
-281.013804,2000,975.785021
-395.238761,2000,1004.551154
-158.336678,2000,1119.051868
-179.034789,2000,1143.818732
--413.616091,2000,1249.316455
--110.795115,2000,1282.316248
--322.145367,2000,1395.169492-1-108.532894,2000,1422.15228-9-144.735892,2000,1538.95190-60-152.598603,2000,1565.4529-183-99.91446,2000,1685.433398
--67.165411,2000,1717.997994
-353.255605,2000,1822.568831
--82.277396,2000,1871.254062
--104.841389,2000,1978.20249
--83.813843,2000,2008.468498
-103.210668,2000,2131.402363
--96.578568,2000,2158.853272
-252.246827,2000,2265.935987
--172.188529,2000,2301.754384
--25.532003,2000,2409.352555
--92.46986,2000,2449.115088
-71.71373,2000,2563.75323
-214.088711,2000,2591.588049
-668.34866,2000,2720.26931
-1117.021821,2000,2745.803281
-17.198443,2000,2849.886821
-138.791992,2000,2887.484541
-253.496339,2000,2982.049996---283.036943,2000,3019.35275-1--1435.40407,2000,3129.55367-6--123.625215,2000,3158.1380-14--24.48705,2000,3272.93733-7-168.320755,2000,3298.4368-1--42.111125,2000,3414.020361---34.184927,2000,3441.586176-8-26.982043,2000,3547.502337-2-64.538325,2000,3585.320884
--129.049168,2000,3703.770385
--92.950716,2000,3730.803061
--67.459584,2000,3854.054792
--118.431311,2000,3881.721786-8-10.217056,2000,3998.154649-1-60.264607,2000,4033.489036
--23.357821,2000,4138.239368
-245.085528,2000,4176.0167
-166.051627,2000,4293.605182
--90.332183,2000,4320.305711
--46.091093,2000,4445.271927
-90.551893,2000,4471.555331-6-31.19882,2000,4578.454243
--105.498032,2000,4626.572354
--188.490697,2000,4730.037035
--204.748026,2000,4766.984179
-183.669037,2000,4881.985437
-92.531039,2000,4907.170903
-283.874684,2000,5025.873274
-49.913524,2000,5063.357696
-233.140363,2000,5156.889438
--52.986607,2000,5193.891899
--13.023303,2000,5300.173983
-1956.33306,2000,5339.571747
-29.148321,2000,5457.142527
-9.295615,2000,5484.658355
-32.414198,2000,5604.289801
-1968.209155,2000,5630.841426
-1948.106959,2000,5734.772858
-176.92402,2000,5772.125087
-1819.820493,2000,5877.424527
3.555893,2000,5909.775497
15.091035,2000,6024.00859
-227.722977,2000,6037.790992
-148.15714,2000,6154.492507
-46.45267,2000,6179.39247
-136.316408,2000,6285.341731
-1.896851,2000,6329.709137
-94.904128,2000,6435.291255
-52.24807,2000,6462.942147
-1990.829314,2000,6588.474715
-785.32303,2000,6614.892948
-680.768947,2000,6728.526172
-117.117064,2000,6756.226403
-1978.272059,2000,6858.561644
-189.391817,2000,6897.310185
-135.292729,2000,7001.392951
6.394226,2000,7039.726111
18.009166,2000,7154.526708
-113.058553,2000,7182.094396
-21.95197,2000,7299.659904
-39.913895,2000,7327.560857
-335.394872,2000,7431.010183
-289.236285,2000,7481.859162
-112.919349,2000,7586.192303
-54.525512,2000,7620.91203
5.515654,2000,7742.410902
-73.813175,2000,7770.260392
-131.672213,2000,7876.843785
-1989.718137,2000,7915.460869
-16.411957,2000,8020.860519
-53.983372,2000,8065.144627
-221.660175,2000,8170.709669
-1939.562683,2000,8198.976775
30.259381,2000,8324.860064
-272.359673,2000,8353.078644
-3.273856,2000,8457.144826
-29.937982,2000,8494.228024
-142.673636,2000,8595.810083
-16.96734,2000,8631.410254
-69.16866,2000,8736.995209
-39.785334,2000,8764.327095
-338.638282,2000,8879.996027
42.886012,2000,8909.62882
0.622114,2000,9023.477911
-181.787023,2000,9037.645282
-1.646525,2000,9143.228577
-57.956451,2000,9190.145889
-1944.230067,2000,9297.693539
18.088523,2000,9325.361127
-206.729157,2000,9451.57901
-339.132171,2000,9473.994507
-43.032126,2000,9586.394629
-94.728887,2000,9619.245115
-40.80277,2000,9724.880069
-1945.755932,2000,9761.228325
-157.193868,2000,9879.328474
-60.506803,2000,9907.311243
-236.962929,2000,10032.563558
-96.411981,2000,10061.346434
-45.26443,2000,10174.66394
-1994.642358,2000,10214.281333
-184.318802,2000,10322.796582
-104.920087,2000,10359.73009
-511.562593,2000,10466.214058
-471.945822,2000,10495.763911
-4.237601,2000,10615.979275
-203.531595,2000,10643.981015
7.441068,2000,10751.097658
-74.999984,2000,10788.914004
-1889.535514,2000,10896.09792
-37.033031,2000,10929.481625
-149.557457,2000,11044.630741
-202.17095,2000,11073.497486
