#{"t_start": 1742317091.2281556, "env_id": "None"}
r,l,t
-1310.979548,2000,3.180259
--172.967223,2000,11.304585
--544.081247,2000,36.52169
-665.604459,2000,44.478365
-1706.672306,2000,68.898741
-497.903793,2000,77.072189
375.69323,2000,102.724668
115.514404,2000,110.255586
-1827.925435,2000,136.357313
-1554.463538,2000,144.081971
-571.681013,2000,168.365327
202.028319,2000,176.901335
-339.223061,2000,201.189551
63.900095,2000,209.292374
132.960136,2000,234.307094
602.024168,2000,241.892548
785.094271,2000,267.719392
539.033282,2000,275.676327
767.388434,2000,300.389878
700.683198,2000,307.768165
587.289688,2000,333.0025
724.634371,2000,341.151631
805.947943,2000,365.115508
519.628793,2000,373.320236
-1774.453821,2000,397.697083
538.155407,2000,405.12273
684.281381,2000,431.134224
725.902189,2000,438.588165
731.020003,2000,463.344115
779.026496,2000,471.414282
803.302434,2000,496.226119
647.243079,2000,504.009162
553.188918,2000,528.810723
-1719.542203,2000,536.575805
-1817.072184,2000,559.663207
784.011482,2000,568.056619
-1391.459253,2000,592.671735
-1775.179236,2000,600.183832
702.693033,2000,626.391368
840.63521,2000,633.891479
810.040935,2000,658.024707
828.29349,2000,666.170966
-1733.651792,2000,685.785906
-1750.443967,2000,693.980288
597.325303,2000,718.693363
770.055138,2000,726.707635
746.676433,2000,751.196666
602.322616,2000,758.58414
785.855284,2000,784.695856
807.514878,2000,792.160732
670.257141,2000,816.794965
738.125071,2000,825.124664
-1735.81307,2000,849.49576
-1715.62192,2000,857.706973
695.917025,2000,883.335635
651.402555,2000,891.319728
837.876608,2000,917.044853
768.731728,2000,924.964108
772.200175,2000,950.130034
845.99918,2000,957.699994
638.62032,2000,983.219981
628.168008,2000,991.096396
709.373602,2000,1014.998601
362.354416,2000,1022.933151
-1826.338686,2000,1047.72366815831.305881,2000,1055.10420-16832.705089,2000,1080.961163
7359.804688,2000,1088.347542
7742.745917,2000,1112.114111
7852.206766,2000,1120.548335
-837.140582,2000,1144.753506
575.177583,2000,1152.801822
734.700321,2000,1178.002991
580.520853,2000,1185.427166
585.432988,2000,1210.086369
789.708173,2000,1218.228188
765.99241,2000,1243.208611
797.593741,2000,1250.512502
775.134269,2000,1274.792951
854.43919,2000,1282.886593
-1784.772304,2000,1306.453085
863.318866,2000,1314.884838
743.550549,2000,1338.777028
820.831897,2000,1346.27138
877.500579,2000,1372.16653
630.331324,2000,1375.261143
-1740.184114,2000,1398.976357
736.510806,2000,1407.129008
801.935845,2000,1432.080123
425.149858,2000,1440.204684
282.831978,2000,1464.913235
765.462127,2000,1473.010478
796.297833,2000,1497.09738
461.845435,2000,1505.250111
767.220499,2000,1530.657397
582.689955,2000,1538.082666
-1797.111751,2000,1563.780876
812.982533,2000,1571.818544
691.107064,2000,1595.70809
155.87926,2000,1604.126925
758.264193,2000,1628.507522
-1241.785944,2000,1636.637671
-240.080662,2000,1661.582974
2864.355215,2000,1669.701848
-851.733871,2000,1694.386309
629.709113,2000,1702.41426
621.591006,2000,1728.343062
755.231499,2000,1735.860165
711.436865,2000,1760.047906
-1760.22385,2000,1768.383676
863.024627,2000,1791.669049
432.41041,2000,1799.866939
482.679785,2000,1825.210376
406.154501,2000,1833.340488
670.704265,2000,1858.800042
872.639569,2000,1866.763171
652.772204,2000,1891.765684
503.620315,2000,1899.530263
-1683.420898,2000,1924.812936
-1698.689229,2000,1932.666222
834.534957,2000,1956.406431
-1912.866712,2000,1964.242748
859.665011,2000,1989.156406
802.482214,2000,1996.698781
-1728.007455,2000,2022.71314
523.217964,2000,2030.36571
777.420161,2000,2054.60809
-64.285033,2000,2058.28122
-735.245683,2000,2082.485166
-1749.20231,2000,2090.666458
632.469794,2000,2115.774511
-379.336589,2000,2124.134169
-1564.505193,2000,2147.004154
551.639216,2000,2155.649554
525.798779,2000,2180.264912
469.850906,2000,2187.649012
766.652436,2000,2213.074697
456.673792,2000,2221.114662
849.59211,2000,2245.514517
801.891042,2000,2253.325879
839.615304,2000,2278.509742
804.797954,2000,2286.551872
823.994408,2000,2310.737341
-1738.327883,2000,2319.312177
616.444437,2000,2343.196488
-1515.102738,2000,2350.760965
-810.383542,2000,2376.244333
-753.852005,2000,2383.558866
768.95328,2000,2408.955953
726.474352,2000,2416.778479
614.18611,2000,2440.491824
-150.984822,2000,2449.077965
-1736.441319,2000,2473.624496
737.544401,2000,2481.265294
767.353121,2000,2507.660157
846.324874,2000,2515.157762
424.648229,2000,2539.935543
-158.663949,2000,2547.989083
763.479501,2000,2572.98253
850.967659,2000,2581.188921
469.52912,2000,2605.715569
-1157.594847,2000,2613.979206
6-221.493615,2000,2637.88912577575.541385,2000,2645.74542256801.171085,2000,2671.49079675603.319272,2000,2678.76386880-1819.030798,2000,2704.108768.583.752666,2000,2712.1796-161864.597154,2000,2735.85361648759.072677,2000,2743.93347-18356.026666,2000,2763.952232
5-1832.331184,2000,2771.3317610614.171979,2000,2796.51216797-1504.720495,2000,2804.389708.9224.493191,2000,2829.154870.8863.094676,2000,2836.5808.577764.405314,2000,2861.3837.112693.639096,2000,2869.1-352.9293.085163,2000,2892.739872.9841.014586,2000,2901.00633.27868.364404,2000,2925.65583.45-1790.038745,2000,2933.874.5808354.782293,2000,2958614.1786766.347197,2000,2966.770.3624868.643556,2000,2990.845.9300853.797722,2000,2998.879.8952797.721861,2000,3024.-1787.37751.784552,2000,3031.83206.65744.633385,2000,3056.39687.28745.671981,2000,3064.3849.657767.106873,2000,3087.4869.547869.369146,2000,3095.6423.932814.391512,2000,3119.9765.435751.970521,2000,3127.3510.115544.064261,2000,3152.8840.375872.139555,2000,3160.6748.022810.364833,2000,3184.8863.563625.601676,2000,3193.1648.656848.179018,2000,3217.7154.915766.066562,2000,3225.530.5678824.28021,2000,3250.637.084598.028199,2000,3258.9864.179434.802578,2000,3284.1771.198823.324174,2000,3291.8826.552688.221415,2000,3317.5273.687768.611848,2000,3325.-1785.9798.312035,2000,3350.056528.9834.605575,2000,3358.505747.9799.634434,2000,3382.031869.5765.203222,2000,3390.490819.4705.050974,2000,3415.09673.23886.750558,2000,3422.62617.12820.936806,2000,3448.87436.60591.727892,2000,3452.05713.68726.121024,2000,3476.06-1676.375.433092,2000,3484.7128706.829.390597,2000,3509.1823787.-566.949872,2000,3517.265752.1826.686088,2000,3542.259635.189.078669,2000,3550.0217771.301.097172,2000,3574.3050713.160.023253,2000,3581.8742736.806.955852,2000,3606.978414.7130.832348,2000,3614.32434.58851.587813,2000,3638.1738.434736.919469,2000,3646.3-340.28762.625708,2000,3669.1773.77802.951172,2000,3676.94851.09824.725528,2000,3702.58813.88836.75503,2000,3710.143828.3533.685771,2000,3735.593842.9409.394666,2000,3743.632368.1757.309088,2000,3768.298573.3426.146554,2000,3775.756815.6877.51983,2000,3801.1919610.636.137993,2000,3809.2006633.867.644232,2000,3833.3048610.347.065382,2000,3841.5725877.744.22804,2000,3864.6243707316.134419,2000,3872.42728828820.220353,2000,3897.76241887841.996829,2000,3905.23813830871.462452,2000,3930.1233895.608.21048,2000,3937.88432879663.034979,2000,3962.86377897613.188578,2000,3970.81897684617.513904,2000,3995.81060755836.084928,2000,4003.8170686151.217631,2000,4027.78144788731.710487,2000,4035.83531257467.313404,2000,4060.98234590811.8237,2000,4068.433084
823.523101,2000,4094.399799
775.059078,2000,4101.838302
814.416919,2000,4125.662272
8241.961998,2000,4129.26264
864.375364,2000,4153.630722
404.527433,2000,4161.394392
-219.128267,2000,4186.5237
4813.742824,2000,4194.687816
8721.357781,2000,4219.17227885843.72899,2000,4226.80789254706.137797,2000,4252.36038378679.882913,2000,4260.48914167630.626196,2000,4284.63241977765.049855,2000,4292.55632233747.67669,2000,4317.118301
6430.279998,2000,4325.176099
5794.680907,2000,4349.882717
7609.234863,2000,4357.355594
4404.566281,2000,4383.727286
7812.419967,2000,4391.067413
8428.594717,2000,4415.908819
4-382.432755,2000,4423.966433-3415.22467,2000,4448.117134
432.980677,2000,4456.371079
82.657063,2000,4481.896158
758.841383,2000,4489.402199
706.991214,2000,4514.107231
691.906786,2000,4522.28897
858.068064,2000,4547.64388
820.561304,2000,4555.166703
-1701.844926,2000,4579.9112
-1691.355498,2000,4588.212143
218.811261,2000,4611.557162
706.25063,2000,4619.420218
462.940798,2000,4644.694072
66.560282,2000,4652.056449
119.602423,2000,4677.409494
266.008124,2000,4685.345287
829.075083,2000,4709.340832
594.80312,2000,4716.857412
798.119245,2000,4741.797916
864.700086,2000,4749.899783
727.657623,2000,4773.49274
-492.124978,2000,4781.964031
626.497985,2000,4806.598402
236.039097,2000,4814.088743
-1656.084324,2000,4834.927166
880.192176,2000,4842.907474
872.61937,2000,4866.69067
612.562894,2000,4874.588801
789.461004,2000,4899.098127
544.819711,2000,4907.018187
369.156761,2000,4931.359016
778.050277,2000,4939.226355
657.556964,2000,4964.04455
868.420961,2000,4971.435788
8746.912951,2000,4997.158293
6849.979021,2000,5004.58946974898.10792,2000,5028.66589373432.667476,2000,5037.173317-1558.786802,2000,5061.30483
863.684893,2000,5069.303649
509.747336,2000,5094.927483
831.043462,2000,5102.382201
8617.148472,2000,5126.88987
833.575183,2000,5134.911073
878.762374,2000,5160.608223
678.923676,2000,5168.556367
592.722748,2000,5193.137425
8820.185288,2000,5201.828951
8704.353502,2000,5225.689294
7826.772108,2000,5233.359408
9892.130394,2000,5259.267369
8781.985696,2000,5266.687275
8871.181178,2000,5292.02866276737.410814,2000,5300.07579660741.043326,2000,5324.7927491.702.439064,2000,5333.0176717.625.442343,2000,5356.628.9039848.314451,2000,5364.834.5459686.693874,2000,5389-1779.907795.807141,2000,5397.9678.065902.161398,2000,5422.800.1836836.844968,2000,5430.869.3171-1733.555509,2000,545-903.43900668.645977,2000,5463778.70460829.747981,2000,5488900.69574521.750322,2000,5496699.8294-1496.437611,2000,551696.885606851.79284,2000,5522725.34786887.781465,2000,5548718.21424-1810.615771,2000,55873.363335,832.03758,2000,558821.350106-65.53547,2000,5588-1712.393844.074084,2000,5612.151.423966.491462,2000,5620.2756.434591.582205,2000,5644.-1839.03701.90177,2000,5652.821-1770604.769431,2000,5675.69411873831.379842,2000,5683.78390-17884.63888,2000,5708.865242
712.297248,2000,5716.163112
376.196633,2000,5741.694855
849.149296,2000,5749.439316
713.816729,2000,5774.508235
768.755972,2000,5782.167369
565.289122,2000,5807.306825
-1656.376742,2000,5815.324659
-686.086053,2000,5839.188466
7-1841.586128,2000,5847.50099-57714.130413,2000,5873.07613831801.024341,2000,5880.65080648672.347124,2000,5906.87138688746.131166,2000,5914.4396891776.698311,2000,5938.02651820593.635985,2000,5946.66175-3524.47646,2000,5970.57682-1789.487732,2000,5978.675885
-550.067963,2000,6003.050652
760.137932,2000,6011.06635
574.397126,2000,6035.785928
846.863793,2000,6043.439337
-1780.574186,2000,6069.966973
8600.827732,2000,6077.29997
8845.272334,2000,6102.092938
8859.784447,2000,6110.315668
8762.051275,2000,6134.406891
-889.834758,2000,6142.546618
514.129529,2000,6167.981395
