#{"t_start": 1744985366.0773864, "env_id": "None"}
r,l,t
-1615.428393,2000,8.45347
-1966.018753,2000,22.765476
-1341.281309,2000,73.523389
-1423.660848,2000,86.989366
--893.838445,2000,138.785305
--1313.162267,2000,151.728283
--571.541192,2000,204.932192
--828.42064,2000,218.238169
-942.338173,2000,272.441108
-568.598313,2000,285.965085
-600.842907,2000,340.141992
-399.920776,2000,353.992038
-523.632247,2000,407.843908
-265.315874,2000,422.462754
