#{"t_start": 1744985317.4949021, "env_id": "None"}
r,l,t
-1624.207243,2000,7.84215
-1563.30293,2000,28.395876
-1328.377464,2000,83.09094
-1409.558904,2000,96.342917
-1168.644474,2000,149.220823--1041.096863,2000,162.22280-8--1002.428979,2000,216.708-7-7--328.826048,2000,230.368-4-5--672.711836,2000,285.165-4-4--520.972355,2000,298.811-5-3--726.363937,2000,354.263-3-2--202.040267,2000,367.785-402--354.644516,2000,423.743-322--104.747222,2000,437.188-98.--180.44813,2000,493.1-142.-211.468269,2000,506.90--278.-52.208334,2000,562.239--74.-126.416156,2000,576.454-135--191.242715,2000,631.4-39.8-782.839614,2000,647.35-7.381111.485423,2000,699.9115.414150.156245,2000,714.896.621691.876661,2000,76764.6892176.695224,2000,781266.00553-34.263164,2000,834196.3529136.374525,2000,849.50.7781064.282312,2000,902.227.4742353.107137,2000,918.501.5899429.355508,2000,971.529.6839492.501537,2000,986.706.1171606.692673,2000,1040.755.7292695.946176,2000,1055833.97411723.20482,2000,1108.852.2303856.735511,2000,1124828.90929905.956929,2000,1176985.63897918.928809,2000,1191018.26039802.230512,2000,12441054.83191062.500281,2000,12601045.20261147.613121,2000,13121157.24151062.829279,2000,1321173.08211129.055187,2000,13811160.43941184.788335,2000,13981200.65511056.698445,2000,14451088.32611247.189687,2000,14611227.38021166.284362,2000,15111263.83631207.434098,2000,1528945.589231321.24736,2000,157670.1111171152.575993,2000,15769.674656,1180.869754,2000,11321.52309,21211.293279,2000,958.069546,21342.093751,2000,1348.588572,21219.288291,200944.762164,201308.375323,20001269.955249,201088.339804,20001302.598475,201325.059352,20001333.454134,201345.242006,20001185.506824,211242.425412,20001310.891934,211306.789135,20001344.810588,211328.817529,20001337.462428,211251.87291,2000,1234.431304,1344.825668,2000,21253.313572,1359.928585,2000,2996.637353,11250.587222,2000,1331.139818111042.349594,2000,1340.223064131312.763256,20001236.58424,2-4677.749195,20001084.886438,211318.955338,20001313.751965,21728.08931,2000,21310.439716,1270.948384,2000,21333.896718,1250.110722,2000,21309.39521211268.647587,2000,21325.88738911379.061971,2000,2989.437041131341.124099,2000,1117.95866471996.030299,2000,21251.89646191318.707531,2000,21070.59612501206.571346,2000,21358.29112961322.572024,2000,21121.92913871318.123564,2000,21100.11813461352.414207,2000,1035.3289990.1317.593166,2000,640.738113221304.485465,2000,1344.709313111088.032903,2000,1321.9088-2031354.732247,2000,1221.1747516.1144.212724,2000,957.64171274.991.820456,2000,1195.705911851187.284101,2000,1349.377213311334.223025,2000,1355.2761344.1230.86566,2000,1259.828013571385.001116,2000,1031.641513771352.829466,2000,1346.899113511346.328389,2000,1313.028313971110.188479,2000,1379.0381357.1337.888091,2000,1355.6051308.1321.475853,20001400.92951356.1099.203781,2001284.39491246.91324.663072,2001359.82411412.41263.000407,2001379.54411386.1386.008433,2001367.274991408.1387.387318,201296.679001385.1385.845361,2001339.309531380.1362.467113,2001419.887661422.1383.446653,2001365.07231424.1428.02736,2000,1352.807314081392.926187,2000,1304.971711471408.317442,2000,220.7909414201418.172061,20001409.895281444740.712094,2000,1399.124271401409.829554,2000,1364.046571341443.770996,2000,1387.029771411433.713509,2000,1374.404881401331.872183,2001413.630571361326.701673,2000,1381.69718393366.773829,2000,31336.62531371371.083294,2000,31338.65031381366.336471,2000,31362.4190142785.628252,2000,391388.9576111172.145398,2000,391270.8094141380.054499,2000,391416.0951381409.271982,20001371.0539161301401.213114,2001336.826657,1291370.274431,2001348.07957,13711398.685987,201426.2980861396.1308.167947,201374.1258341384.1393.544538,201423.8968461409.1424.205849,201422.7238841420.1425.889344,201407.7219741349.-308.028809,201387.4577461421.1031.600529,201262.1349471404.1425.800067,21395.2755481388.1420.706886,201414.4062841411.1370.412545,21356.7486021428.1422.291185,201401.58935596.221085.617528,201414.25301.348291410.999639,201393.31283.79435610.03931,20001285.51238.0941424.611012,20001285.01366.238204.307801,200885.80454.747851.80276,2000,41356.01022.91425.792598,2000,41398.21423.81366.441655,2000,41349.1421.661361.632207,2000,41396.1360.631343.915916,2000,412371397.4421327.376688,2000,41381348.71611394.091271,2000,41361392.70381403.66646,2000,481401367.9451283.108089,2000,491361365.5201362.228132,2000,413761387.8181350.15939,2000,4913081406.831403.253773,2000,5014251418.911422.277689,2000,5014101129.121388.332243,2000,5114031451.271420.67768,2000,51214121402.21323.392571,2000,51714261434.51453.637175,2000,51913041120.81456.100525,2000,521409.14321422.076255,2000,52641348.13911401.868538,2000,53181438.14221442.583093,2000,531394.3014011435.086003,2000,53-213.7614281418.017523,2000,541375.9114261411.550613,2000,5974.0761403-213.447857,2000,51424.84914211397.609103,2000,1382.0058-2451395.911893,2000,1371.501713891434.798666,2000,931.8662813531431.546028,20001364.7999014141461.500916,20001485.5750714141326.352484,20001360.8434713311405.771412,20001413.4859214381474.003718,2001362.82770314111426.058492,2001463.20558113881411.731271,2001362.87394314851427.857025,2001368.2511452.601438.21262,20001402.0521432.01464.818299,200-355.25381432.1430.212903,20001353.82081458.1468.472633,20001454.33941453.1411.709711,200-426.90391428.31445.429538,2001422.78981406.31414.172943,2001362.76371424.9-379.206347,2001301.43681418.31467.443453,200-315.23321404.2781.022128,2000-261.10991446.1414.455797,2001408.278531453.1467.723193,21311.3712021445.1450.4956,20001421.3061061391365.246942,20001432.8901911311413.003385,20001384.9547341441260.009793,20001367.8805271391286.023712,2000841.57024114391383.906136,2001104.58543814161456.603522,2001420.014141421.1394.48566,2000-341.83481429.1381.661794,20001466.45351451.1391.341262,20001099.28741338.1268.165627,20001419.83331454.1433.896829,20001450.37011463.1451.54887,2000,-351.067213241436.019867,20001420.5953514521454.372606,2000-151.63251457.1456.840638,20001436.78951424.1445.426609,2000-430.72971416.1421.644202,201441.52118-334.1425.09499,20001378.1175614311341.682817,20001440.2099714221424.575442,20001201.59301382.1381.428232,20001463.23321411.1424.602988,20001419.3358-3801457.234063,2000,1442.775014231363.278176,2000,1168.4248-3001483.640255,2000,1467.54461458378.207761,2000,1433.86601431416.194327,2000,71422.55021311432.428854,2000,71410.19761411454.779916,2000,71418.71221421346.787223,2000,71455.40551401433.177625,2000,71279.14591461402.823503,2000,71337.60021481449.341364,2000,1353.98381391429.885263,2000,71252.72031491459.615276,2000,71442.00381431462.954112,2000,71489.35411361439.958987,2000,71411.81414641437.572814,2000,71455.83414151468.39006,2000,761487.4111481446.275892,2000,761464.97714-337.035646,2000,7671470.673141458.038674,2000,7691468.340141507.285859,2000,7741476.011141480.468129,2000,771364.7431471462.16937,2000,7811488.268141497.819373,2000,7821351.045141438.321418,2000,781480.4014951485.449125,2000,781496.21477.1471.31543,2000,7941501.715181466.917508,2000,791480.214711500.157339,2000,801428.3214671486.788112,2000,801480.3114841431.257735,2000,801466.9114791422.416205,2000,801463.7914641483.169724,2000,811487.6115031488.855677,2000,811535.4214911548.140191,2000,821285.65-2671523.467162,2000,821472.0615101490.584836,2000,821484.9414001433.116996,2000,831491.8015101493.540958,2000,831481.4915151510.215963,2000,831491.6814471455.408089,2000,841500.4714981474.527806,2000,1491.6612521492.582642,2000,851501.6414491473.226382,2000,851478.8514761547.781364,2000,851460.8814721509.486279,2000,851486.5515141511.439816,2000,861517.251472-289.245983,2000,81480.1021462-299.562711,2000,81488.35314901498.217794,2000,81474.00914861465.512561,2000,81427.351459.852.582084,2000,871480.9814291441.956775,2000,881490.9513771002.188188,2000,81458.51405.71374.23382,2000,891480.51516.1145.254754,2000,891517.21521.1516.555107,2000,891478.21483.1491.676543,2000,891543.01491.1499.872803,2000,901506.31449.1506.718779,2000,91486.21501.1505.81454,2000,911623.1414841503.417058,2000,911475.811491482.673135,2000,9181503.011441415.515943,2000,9191527.741471495.427692,2000,9251532.731471519.320464,2000,9261457.591461504.534975,2000,9321469.441521508.974987,2000,9331522.671541529.491213,2000,9391536.821521491.552681,2000,9401549.891451514.705922,2000,941551.8741491481.669588,2000,941405.3981441469.637513,2000,951482.7421421486.646663,2000,91491.0431531503.6855,2000,95991512.706--345.405967,2000,96141213.949--484.044302,2000,96691522.43111514.619567,2000,9681522.00151519.23543,2000,97381528.96151495.902735,2000,97531528.31141536.510793,2000,9801514.39141522.860733,2000,98231501.72141516.625076,2000,98781456.59141497.941907,2000,98921485.12141505.120272,2000,9941487.28481472.705406,2000,99621501.51491493.537879,2000,100171506.91511492.85847,2000,10032.1501.4151483.824129,2000,10087.1494.5141534.062093,2000,10103.1485.9-21546.939792,2000,10151.1480.4691516.045193,2000,101661493.01471450.198115,2000,10211477.31509-318.952588,2000,10231415.615351512.758062,2000,1021509.1311241501.687546,2000,1031518.1814771474.79014,2000,1031504.995141520.821253,2000,10371519.513151512.308113,2000,1041519.6819141549.180392,2000,1041407.5294141503.201566,2000,1041501.3307-21511.485749,2000,101506.1916541459.765718,2000,1051501.81533.1501.776324,2000,1051487.71473.1482.805038,2000,1061493.1485.91505.478703,2000,10615211461.201467.177805,2000,10715011526.751477.907945,2000,10715041490.511523.17103,2000,107715341506.71514.77936,2000,1079014951526.1328.745221,2000,108441421487.21525.8625,2000,10859.145914741525.546967,2000,10911499.114891530.847844,2000,1091504.41525646.383655,2000,109831505.15401511.265724,2000,109981485.15151518.101762,2000,110531529.14251478.040328,2000,110691450.14821510.69625,2000,11123.1500.-41461.278782,2000,11138.7-4091481302.529955,2000,11193.313351441509.890241,2000,11208.91469-40-291.881433,2000,11263.51458149-477.820497,2000,11279.013331491492.068287,2000,11333.4882132982.130221,2000,11348.721242151517.037283,2000,11402.781492141498.154394,2000,11419.011494141517.149014,2000,11474.221468141521.383881,2000,11490.14144614-253.686785,2000,11544.81456.141474.761165,2000,11560.1473.3141481.245108,2000,11614.1458.8141499.849252,2000,116241485.28141479.565407,2000,116761481.82141416.479843,2000,116921470.81417.020316,2000,11746.441476.31492.785473,2000,11761.621462.51478.779327,2000,11816.181516.01478.771109,2000,11831.301431.91512.129617,2000,118851501.09151488.254556,2000,119001483.21031510.600109,2000,119551459.68261476.48665,2000,11970.1488.6571514.961246,2000,12024.-305.4951409.102958,2000,120391512.39181432.577335,2000,12091035.301101482.375417,2000,12101459.988071497.988188,2000,12161465.7896-1486.758436,2000,12171446.314971360.031222,2000,121508.01499.31456.941115,2000,121482.31454.41432.225611,2000,121489.01481.31482.52318,2000,1231504.61449.1507.573325,2000,121500.51487.81488.133947,2000,121487.51492.51498.013936,2000,121428.01486.21507.302279,2000,121500.61487.61461.343824,2000,121505.91501.61517.147203,2000,121508.11508.61527.859927,2000,121486.11498.01174.546536,2000,121494.1513.79775.073656,2000,1215151496.281498.610615,2000,12615161512.301493.251497,2000,12-405.1514.231515.452497,2000,121509.1532.351491.527053,2000,12784.628019
1552.650734,2000,12799.508994
1580.556161,2000,12801.60199
1553.875545,2000,12804.120208
1581.808694,2000,12808.119978
1557.699967,2000,12810.820173
1568.755105,2000,12812.916971
1545.731071,2000,12815.032967
1580.951799,2000,12817.129964
1555.292853,2000,12819.22896
1559.016629,2000,12821.316957
